Sensor,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
Lincoln-Swanston (W),10,6,3,3,6,5,13,18,48,40,56,71,58,96,62,69,75,92,91,66,53,44,31,19
Elizabeth St-La Trobe St (East)
Lonsdale St - Elizabeth St (North),25,11,10,5,3,10,25,47,88,105,139,162,232,270,238,199,222,284,281,267,223,174,115,102
Bourke St Bridge,10,7,5,3,6,35,136,198,367,232,197,211,328,289,250,273,365,516,832,1755,197,243,1543,115
Bourke St - Spencer St (North),30,20,19,11,5,30,89,167,304,245,228,269,315,324,276,321,404,517,400,339,140,138,291,121
RMIT Bld 80 - 445 Swanston Street,26,16,7,5,4,11,26,78,182,214,241,316,417,410,384,371,420,337,204,153,117,110,79,56
Flinders La-Swanston St (West) Temporary,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RMIT Building 14,30,13,9,8,8,12,41,91,158,176,213,228,302,311,281,303,287,305,304,212,172,149,108,65
380 Elizabeth St,182,94,56,39,40,95,277,234,351,392,523,614,822,873,854,960,981,1136,1097,965,848,752,518,367
La Trobe St (North),33,19,17,11,8,15,61,40,59,116,253,262,305,293,138,133,123,151,162,156,120,115,93,78
231 Bourke St,62,21,24,16,17,27,137,239,236,302,326,394,529,567,505,502,450,496,408,266,261,210,219,181
Royal Pde - Grattan St,12,12,9,5,2,10,49,127,218,180,161,144,180,188,142,162,177,190,99,54,33,37,22,17
Swanston St - City Square,24,10,6,6,2,16,38,94,159,144,179,243,345,409,402,394,396,429,396,275,235,227,193,123
State Library - New,51,25,14,6,13,19,39,87,179,240,327,498,628,861,841,892,944,988,955,867,825,648,446,234
Flinders Ln - Degraves St (South),14,8,7,4,2,15,64,128,261,269,310,337,439,445,385,360,354,335,261,229,177,153,90,55
Flinders Ln - Degraves St (North),0,0,1,0,1,5,35,68,147,195,186,238,331,287,259,217,186,56,12,9,7,11,4,4
Flinders Ln - Degraves St (Crossing),1,0,1,2,2,10,26,54,162,128,136,134,178,181,148,122,111,87,60,35,25,26,6,7
Errol Street (East),9,2,1,1,1,3,15,47,109,131,165,208,316,313,248,237,261,306,288,234,172,109,106,41
Westwood Place,1,N/A,1,4,1,1,9,69,34,85,42,52,77,29,25,18,33,71,34,24,12,5,15,9
Flinders St - ACMI,22,6,9,12,10,33,70,78,132,128,142,282,336,391,415,392,361,377,285,255,185,177,129,104
Bourke St - Spencer St (South),9,2,5,1,3,9,9,N/A,N/A,N/A,N/A,14,81,91,66,77,67,69,54,36,32,20,16,19
Spring St - Flinders St (West),6,2,1,1,6,11,60,36,52,46,48,53,68,47,64,75,46,54,30,30,16,18,16,11
Macaulay Rd - Bellair St,3,1,1,N/A,N/A,2,11,34,102,93,120,118,123,129,105,120,111,133,85,66,36,17,12,5
Harbour Esplanade - Pedestrian Path,11,4,3,1,3,12,34,94,169,123,139,171,206,176,210,210,232,301,280,293,154,104,194,39
Harbour Esplanade - Bike Path,2,1,1,1,1,1,2,13,28,23,27,36,43,48,47,49,67,41,12,16,6,5,19,3
Total,2303,1089,812,698,748,1823,5056,8358,14227,13775,15751,19493,25931,27564,25324,25403,26116,28789,25845,22112,17091,14497,13399,7682


Average Hourly Pedestrian Counts for Friday over the past 52 weeks. 
Sensor,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
Bourke Street Mall (North),56,36,24,20,16,15,64,109,221,381,586,886,1173,1304,1299,1297,1313,1392,1274,1066,821,567,349,197
Bourke Street Mall (South),39,21,27,20,11,11,30,75,143,240,422,598,794,885,822,799,777,731,590,460,368,236,167,98
Melbourne Central,119,74,56,44,32,32,60,83,143,188,260,384,550,583,591,627,652,733,805,757,705,659,537,378
Town Hall (West),120,70,41,31,28,47,104,195,375,542,760,1019,1339,1462,1397,1404,1375,1431,1323,1091,987,926,713,460
Princes Bridge,211,104,61,59,56,85,186,362,591,533,633,837,1034,1042,1075,1122,1181,1457,1395,1213,1114,1130,989,665
Flinders Street Station Underpass,133,71,48,33,34,98,256,416,737,512,479,572,752,769,786,885,1002,1263,1064,827,720,674,608,481
Birrarung Marr,21,29,6,5,8,21,74,151,180,141,132,138,151,144,138,150,182,242,284,281,100,87,313,79
Webb Bridge,15,7,4,6,2,14,50,137,172,146,157,177,228,214,195,207,242,291,231,178,120,87,59,39
Southern Cross Station,10,6,5,3,3,23,81,195,398,220,122,124,221,192,166,192,287,342,181,101,62,48,61,29
Victoria Point,7,4,4,3,3,6,21,47,72,66,62,63,86,73,59,62,71,90,85,76,57,45,40,20
Waterfront City,14,5,3,3,2,3,15,31,41,35,41,44,55,51,44,47,56,79,88,89,83,72,49,30
New Quay,39,17,10,6,5,12,48,108,152,131,151,169,205,201,189,205,227,297,342,352,284,216,164,88
Flagstaff Station,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sandridge Bridge,63,32,22,16,19,43,100,175,259,198,194,214,249,255,262,297,328,435,363,282,273,248,247,194
State Library,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Collins St (North),29,18,13,14,7,17,53,117,253,359,464,593,734,779,701,647,583,529,378,280,210,168,144,92
Collins Place (South),19,12,11,7,8,33,96,192,422,320,268,297,451,413,301,279,270,325,224,184,165,103,119,71
Collins Place (North),8,5,4,3,2,8,33,115,267,184,159,162,185,174,170,173,194,234,126,70,50,37,44,32
Chinatown-Swanston St (North),86,49,34,22,14,8,16,29,54,83,148,255,393,437,410,401,411,506,666,745,703,612,482,286
Chinatown-Lt Bourke St (South),101,55,40,38,15,12,15,21,43,62,94,149,236,228,194,194,186,264,390,516,492,416,386,236
Bourke St-Russell St (West),140,103,67,54,27,30,38,60,105,136,206,297,501,517,450,446,466,560,641,668,636,602,520,388
Flinders St-Elizabeth St (East),172,106,90,66,51,103,272,482,830,767,846,968,1254,1326,1282,1419,1543,1667,1442,1172,998,933,789,537
Spencer St-Collins St (South),27,17,12,12,9,24,72,144,298,184,157,178,263,258,196,205,240,289,213,157,125,116,100,66
Spencer St-Collins St (North),66,36,29,22,21,93,236,407,706,507,427,463,562,585,565,672,778,914,637,437,319,300,285,206
Melbourne Convention Exhibition Centre,78,47,27,19,30,68,224,364,471,427,454,555,674,726,761,813,873,962,868,659,534,480,408,313
QV Market-Elizabeth St (West),69,54,41,36,35,57,106,170,278,353,469,560,732,692,566,432,335,337,344,313,264,234,187,141
QV Market-Peel St,12,9,5,5,4,8,23,52,87,98,122,137,157,166,136,119,100,111,111,90,73,69,52,36
The Arts Centre,66,36,28,41,50,63,150,293,518,427,498,628,739,763,748,763,743,854,725,626,444,492,366,218
St Kilda Rd-Alexandra Gardens,11,8,5,3,3,8,32,57,83,77,102,125,158,159,153,147,160,197,202,173,139,130,124,110
Lonsdale St (South),108,81,47,34,25,19,34,48,71,100,150,217,314,329,315,304,324,414,504,563,568,585,518,376
Lygon St (West),43,17,8,7,8,15,28,42,72,89,103,124,180,189,173,167,167,192,266,334,415,473,416,290
City Square
Flinders St-Spring St (West),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Flinders St-Spark La,7,5,3,2,3,9,26,38,54,54,52,58,78,83,75,71,80,90,76,53,39,39,65,34
Southbank,151,63,32,15,13,39,157,269,363,321,370,483,669,654,615,640,683,868,906,857,797,698,602,387
Queen St (West),26,18,11,11,8,14,35,78,183,187,170,184,295,298,218,191,192,232,184,141,135,128,148,143
Lygon St (East),22,12,6,5,7,9,9,21,52,67,81,99,141,151,129,117,103,122,154,215,266,284,227,140
Alfred Place,8,4,4,6,2,4,16,46,94,92,75,84,180,164,113,85,87,82,62,48,37,35,32,24
Lonsdale St-Spring St (West),15,10,5,4,3,14,31,74,154,140,141,152,228,204,166,154,153,193,182,161,117,98,136,66
Grattan St-Swanston St (West),11,7,5,4,6,12,47,58,107,113,146,154,206,199,166,145,128,132,102,74,59,48,36,24
Monash Rd-Swanston St (West),10,5,4,2,1,6,22,34,104,106,105,97,135,140,126,125,127,134,98,69,52,33,29,23
Tin Alley-Swanston St (West),5,4,5,1,2,4,14,18,37,35,45,47,55,52,53,58,57,64,55,37,28,19,18,14
Little Collins St-Swanston St (East),73,42,25,21,14,21,41,100,198,229,292,390,563,617,576,585,601,682,652,611,595,564,461,286
Flinders La-Swanston St (West),215,125,86,70,67,150,304,472,854,933,1066,1303,1567,1675,1625,1690,1751,1923,1731,1401,1249,1201,1046,723
Pelham St (South),5,3,2,2,2,3,10,20,47,42,45,48,65,64,52,46,49,54,43,31,21,18,14,10
Melbourne Central-Elizabeth St (East),98,69,55,43,37,53,107,171,341,407,515,652,833,915,891,921,958,955,854,697,589,520,381,266
QVM-Queen St (East),17,13,7,6,9,17,34,82,124,158,195,227,265,270,241,221,151,158,159,134,108,96,75,53
QVM-Therry St (South),53,44,32,30,24,27,60,58,74,107,137,167,225,199,159,132,89,96,109,104,100,92,81,73
Faraday St-Lygon St (West),13,6,4,4,6,8,16,48,106,163,217,272,334,331,310,293,273,293,330,364,345,268,202,93
QVM-Franklin St (North),20,14,10,7,7,19,72,74,76,116,116,131,166,168,154,151,111,118,111,100,80,77,56,40
Elizabeth St-Lonsdale St (South),53,30,21,16,10,12,24,62,119,130,150,196,282,333,295,270,270,321,329,328,316,278,231,182
Lincoln-Swanston (W),12,10,7,4,6,6,21,26,69,58,56,65,85,87,77,78,86,102,86,70,56,48,39,27
Elizabeth St-La Trobe St (East)
Lonsdale St - Elizabeth St (North),28,20,15,14,7,12,52,54,97,107,144,178,263,296,250,239,242,297,303,288,245,206,154,99
Bourke St Bridge,15,10,6,6,5,26,87,177,347,245,194,200,313,291,251,363,367,407,476,625,139,166,407,65
Bourke St - Spencer St (North),56,40,29,16,16,55,134,270,524,393,358,402,479,486,438,483,556,648,489,358,240,232,232,163
