bay_id,st_marker_id,status,location,lat,lon
5887,12907S,Unoccupied,"(-37.798546165104554, 144.96523813543055)",-37.798546165104554,144.96523813543055
7056,4686Ea,Unoccupied,"(-37.804994804480884, 144.95918466191517)",-37.804994804480884,144.95918466191517
3699,7664N,Unoccupied,"(-37.80492044227336, 144.95650616449058)",-37.80492044227336,144.95650616449058
3508,6661S,Unoccupied,"(-37.808800623522416, 144.95857337326385)",-37.808800623522416,144.95857337326385
4272,C6880,Unoccupied,"(-37.80934619097715, 144.95579335852568)",-37.80934619097715,144.95579335852568
3476,6540N,Present,"(-37.80782093646036, 144.9612678162011)",-37.80782093646036,144.9612678162011
3402,6251S,Present,"(-37.807670399778175, 144.9664388087702)",-37.807670399778175,144.9664388087702
4204,C6698,Unoccupied,"(-37.8087707248351, 144.95833716308184)",-37.8087707248351,144.95833716308184
8307,659W,Unoccupied,"(-37.81514065818146, 144.9690534891165)",-37.81514065818146,144.9690534891165
3370,6185W,Unoccupied,"(-37.80667341985976, 144.95115105940047)",-37.80667341985976,144.95115105940047
3808,C5452,Unoccupied,"(-37.8075195968963, 144.95446934643988)",-37.8075195968963,144.95446934643988
3555,7081S,Unoccupied,"(-37.808902940538886, 144.95381844311694)",-37.808902940538886,144.95381844311694
4195,C6662,Present,"(-37.80869393034385, 144.9586021238215)",-37.80869393034385,144.9586021238215
3857,C5610,Unoccupied,"(-37.80729075478993, 144.95489727880891)",-37.80729075478993,144.95489727880891
4326,C6990,Unoccupied,"(-37.80927211640835, 144.95621497884622)",-37.80927211640835,144.95621497884622
5877,12902N,Present,"(-37.798313847511565, 144.96478913518115)",-37.798313847511565,144.96478913518115
910,C666,Unoccupied,"(-37.81445232772084, 144.96885430889915)",-37.81445232772084,144.96885430889915
3159,5351W,Unoccupied,"(-37.8100925321033, 144.95555611506072)",-37.8100925321033,144.95555611506072
4295,C6926,Unoccupied,"(-37.80939289853838, 144.9559884246491)",-37.80939289853838,144.9559884246491
951,C810,Present,"(-37.81135346943457, 144.96743345892835)",-37.81135346943457,144.96743345892835
3568,7096N,Unoccupied,"(-37.80893103506304, 144.95319811001679)",-37.80893103506304,144.95319811001679
5228,11510N,Present,"(-37.81169251219845, 144.95219601741596)",-37.81169251219845,144.95219601741596
934,C744,Present,"(-37.813432061253614, 144.9683864485381)",-37.813432061253614,144.9683864485381
4257,C6846,Unoccupied,"(-37.80920970666094, 144.9556719143756)",-37.80920970666094,144.9556719143756
3192,5417W,Present,"(-37.80828103109838, 144.95469843560392)",-37.80828103109838,144.95469843560392
3623,7572N,Unoccupied,"(-37.80564432646193, 144.95469212813896)",-37.80564432646193,144.95469212813896
3928,C5772,Present,"(-37.80439386767839, 144.95541182368808)",-37.80439386767839,144.95541182368808
4109,C6368,Unoccupied,"(-37.80412517102357, 144.95093860815354)",-37.80412517102357,144.95093860815354
3864,C5624,Unoccupied,"(-37.80709106879101, 144.95493314683276)",-37.80709106879101,144.95493314683276
3730,7784N,Unoccupied,"(-37.802431124332074, 144.94482481471812)",-37.802431124332074,144.94482481471812
4087,C6290,Unoccupied,"(-37.80495291579882, 144.95079328591325)",-37.80495291579882,144.95079328591325
5863,C9154,Unoccupied,"(-37.798434243639065, 144.96504816433952)",-37.798434243639065,144.96504816433952
3675,7634N,Unoccupied,"(-37.80496415539301, 144.94854345868964)",-37.80496415539301,144.94854345868964
5851,C9106,Unoccupied,"(-37.7983913980568, 144.96464837250426)",-37.7983913980568,144.96464837250426
4191,C6652,Unoccupied,"(-37.80856743802731, 144.95903826457047)",-37.80856743802731,144.95903826457047
